species_code,week,longitude,latitude,prev_dist_km
yebsap,2021-01-04,-87.8888036404262,33.28045951259137,20.80466051561553
yebsap,2021-01-11,-88.0216680610206,33.147448378118455,19.27500805664234
yebsap,2021-01-18,-88.03048508014403,33.09230111122951,6.1868379156663025
yebsap,2021-01-25,-87.83257435175102,33.10621237288516,18.500362568081826
yebsap,2021-02-01,-87.69338384426197,33.04575928441508,14.607727453989208
yebsap,2021-02-08,-87.66203679988078,32.97006040192476,8.910435081059484
yebsap,2021-02-15,-87.68394666726441,32.79045379525555,20.075903598964356
yebsap,2021-02-22,-87.86669408646877,32.518980845268075,34.69767242229315
yebsap,2021-03-01,-88.14104594913717,32.28554878630889,36.56714629135754
yebsap,2021-03-08,-88.21282603858194,32.19458127953312,12.161084974630876
yebsap,2021-03-15,-88.11360491076606,32.29378553206604,14.448498325803133
yebsap,2021-03-22,-87.80874780526554,32.72936837063988,56.24122268213129
yebsap,2021-03-29,-87.09886733511257,33.5685962659856,114.34932880759072
yebsap,2021-04-05,-85.80967873998287,35.321086024318184,227.9172604162746
yebsap,2021-04-12,-83.41669077041513,39.816178830692934,542.4470349439454
yebsap,2021-04-19,-80.71203901403474,44.669693775807936,583.7157114534333
yebsap,2021-04-26,-80.03533839991499,46.11354852045089,169.0201532030699
yebsap,2021-05-03,-80.45877438893547,47.12660822093705,117.19679286970236
yebsap,2021-05-10,-82.4122048744537,48.38572853373884,202.29070694873
yebsap,2021-05-17,-85.37279137850173,49.740668544511834,263.0778919163237
yebsap,2021-05-24,-86.88566388429923,50.425687811590294,132.10982100872224
yebsap,2021-05-31,-87.27374383566212,50.71763785960661,42.48520830779532
yebsap,2021-06-07,-86.54057007197495,50.59486194903227,53.45712795428907
yebsap,2021-06-14,-85.38387473095315,50.214940198885,92.21993892815698
yebsap,2021-06-21,-85.20209841430368,50.048785583731906,22.565992496859597
yebsap,2021-06-28,-85.48051634487136,50.033281303313295,19.95747594138512
yebsap,2021-07-06,-85.96934338703248,50.062293273619936,35.052789909988206
yebsap,2021-07-13,-86.82869318884565,50.23161589722481,64.06267899613725
yebsap,2021-07-20,-86.88959172253332,50.19810471914852,5.715070082485953
yebsap,2021-07-27,-86.7605366736134,50.02588764204306,21.24617230954313
yebsap,2021-08-03,-86.37342486767415,49.780189389446456,38.92360962585236
yebsap,2021-08-10,-86.12829431786214,49.59809279511837,26.850271926272843
yebsap,2021-08-17,-86.21054339593175,49.52658167673489,9.92063001534449
yebsap,2021-08-24,-86.13297454276203,49.421234890556136,12.985799853076456
yebsap,2021-08-31,-85.69883625066134,49.24202342364664,37.239477602567376
yebsap,2021-09-07,-84.84432175738847,48.890031434739846,73.53542593334602
yebsap,2021-09-14,-83.5883506568983,48.424387058179704,105.78772708272157
yebsap,2021-09-21,-82.07431682766973,47.73034687342751,136.40633683126794
yebsap,2021-09-28,-81.57109365327325,47.19152113176897,70.85861913832787
yebsap,2021-10-05,-82.23086060482042,45.794599693479036,163.33391592107603
yebsap,2021-10-12,-83.60794961905738,43.54460912201875,272.84913289076724
yebsap,2021-10-19,-84.94443781726467,39.849125053088834,425.6211329533569
yebsap,2021-10-26,-86.38802966527358,36.562391585890566,386.606836806798
yebsap,2021-11-02,-87.01489045262463,34.80688435573873,203.2468334810796
yebsap,2021-11-09,-87.16350966678883,34.329063386145116,54.84633222225727
yebsap,2021-11-16,-87.04976499484425,34.1470722907773,22.778185799029806
yebsap,2021-11-23,-86.96108321413143,34.09602222410109,9.943039682628763
yebsap,2021-11-30,-86.89855389873607,34.07056108382114,6.416924715391831
yebsap,2021-12-07,-87.00200564571323,33.92819513423143,18.481101843895406
yebsap,2021-12-14,-87.15737943439251,33.79356318292987,20.734900635462616
yebsap,2021-12-21,-87.37745626930162,33.62410246423642,27.73940538531191
yebsap,2021-12-28,-87.70100123461108,33.38237051142384,40.279707834550564
