band,date
1,2023-01-04
2,2023-01-11
3,2023-01-18
4,2023-01-25
5,2023-02-01
6,2023-02-08
7,2023-02-15
8,2023-02-22
9,2023-03-01
10,2023-03-08
11,2023-03-15
12,2023-03-22
13,2023-03-29
14,2023-04-05
15,2023-04-12
16,2023-04-19
17,2023-04-26
18,2023-05-03
19,2023-05-10
20,2023-05-17
21,2023-05-24
22,2023-05-31
23,2023-06-07
24,2023-06-14
25,2023-06-21
26,2023-06-28
27,2023-07-05
28,2023-07-12
29,2023-07-19
30,2023-07-26
31,2023-08-02
32,2023-08-09
33,2023-08-16
34,2023-08-23
35,2023-08-30
36,2023-09-06
37,2023-09-13
38,2023-09-20
39,2023-09-27
40,2023-10-04
41,2023-10-11
42,2023-10-18
43,2023-10-25
44,2023-11-01
45,2023-11-08
46,2023-11-15
47,2023-11-22
48,2023-11-29
49,2023-12-06
50,2023-12-13
51,2023-12-20
52,2023-12-27
