species_code,date,longitude,latitude,prev_dist_km
yebsap-example,2022-01-04,-88.13663503344628,33.03953354189592,23.914822434099996
yebsap-example,2022-01-11,-88.13126371684798,32.929228882675815,12.275565454293584
yebsap-example,2022-01-18,-87.83827391482421,32.94737696020492,27.41652298015954
yebsap-example,2022-01-25,-87.32644330530336,33.26182509963668,59.122002581666855
yebsap-example,2022-02-01,-87.2577858696335,33.1884630980826,10.360017914467992
yebsap-example,2022-02-08,-87.52212216451987,33.09938580885126,26.529091667753836
yebsap-example,2022-02-15,-87.3225216559736,33.079933601918704,18.720392749855872
yebsap-example,2022-02-22,-87.55439747185645,32.71758818828046,45.738668831277984
yebsap-example,2022-03-01,-87.51958136006766,32.590978999158935,14.450720304789764
yebsap-example,2022-03-08,-87.3849664606626,32.90387795730072,37.000472611926305
yebsap-example,2022-03-15,-86.82970959553876,33.14810874387056,58.45682493720989
yebsap-example,2022-03-22,-86.49248893441707,33.849362631006436,84.01173617962472
yebsap-example,2022-03-29,-85.26094152393004,36.585357134056714,324.138693242086
yebsap-example,2022-04-05,-83.8728124197292,40.459352680558474,447.3577107544061
yebsap-example,2022-04-12,-80.52406932668895,44.439550365120745,520.8175055314757
yebsap-example,2022-04-19,-79.81349645574879,46.43142616777965,228.31808096113903
yebsap-example,2022-04-26,-81.04021862322152,47.62477062330546,162.02256047992694
yebsap-example,2022-05-03,-83.43759038983426,48.88405108635243,226.0581881255624
yebsap-example,2022-05-10,-88.43580912897755,51.150424563774976,436.9297350344566
yebsap-example,2022-05-17,-90.16412995951488,51.827196698126095,141.3547149222475
yebsap-example,2022-05-24,-89.12551619772593,51.49759088175339,80.46708695065124
yebsap-example,2022-05-31,-87.86151208654822,51.29155664263845,90.63914395321468
yebsap-example,2022-06-07,-87.3621947624957,51.148100304850075,38.25903660388593
yebsap-example,2022-06-14,-86.86781180034589,50.89784630782956,44.384667953423175
yebsap-example,2022-06-21,-87.06740523465601,50.77396297765369,19.652339530925985
yebsap-example,2022-06-28,-87.77456878387531,50.98679545833403,54.96800700230127
yebsap-example,2022-07-05,-87.52384781515099,50.90199225710189,19.936805111153387
yebsap-example,2022-07-12,-89.30774291635677,51.4338728285483,137.72003549422533
yebsap-example,2022-07-19,-89.17330393750323,51.088467105256825,39.530213890497954
yebsap-example,2022-07-26,-89.40757976305287,50.99555572058437,19.36521668451068
yebsap-example,2022-08-02,-88.16714117459087,50.39687775379833,109.83842692925944
yebsap-example,2022-08-09,-86.60235257904681,49.75200090575196,132.7060436347938
yebsap-example,2022-08-16,-85.83891366067856,49.43462340899424,65.37073945591347
yebsap-example,2022-08-23,-85.58418929342963,49.38007224146259,19.402387594800523
yebsap-example,2022-08-30,-85.66691321371694,49.13112051698583,28.325771188942195
yebsap-example,2022-09-06,-86.76814222976726,49.427913192619606,86.43094042910802
yebsap-example,2022-09-13,-84.63846016776391,48.65565888098712,177.3896941074411
yebsap-example,2022-09-20,-83.23102008621773,47.77607588961182,142.96483566413
yebsap-example,2022-09-27,-82.89070240797841,46.149277959410966,182.72570188650388
yebsap-example,2022-10-04,-84.51195194054486,42.11035565583769,467.3481778594569
yebsap-example,2022-10-11,-86.19937611253906,36.935250519291465,593.3318974588384
yebsap-example,2022-10-18,-87.55452896511397,34.76087362153513,270.871736966077
yebsap-example,2022-10-25,-87.68703345955832,34.31090273536808,51.4856267381616
yebsap-example,2022-11-01,-87.9486389585521,33.794654306449615,62.25838088134492
yebsap-example,2022-11-08,-87.97124738161743,33.632426283909346,18.159764932960393
yebsap-example,2022-11-15,-88.04287224072398,33.49926414254028,16.22611691359044
yebsap-example,2022-11-22,-87.94145965229576,33.5664996611567,12.010447590488903
yebsap-example,2022-11-29,-87.58048710922496,33.568884468169536,33.44566205192958
yebsap-example,2022-12-06,-88.18399555749946,33.12993025105168,74.32834815806183
yebsap-example,2022-12-13,-87.97702472247613,33.341064465795824,30.359840051598024
yebsap-example,2022-12-20,-88.14729174490708,33.24886910409149,18.855543863169412
yebsap-example,2022-12-27,-88.0459904217135,33.24076641093506,9.46364799425222
